2023-11-01 20:40:17,816 - INFO - Epoch [1/50], Train Loss: 0.7445 Saved!
2023-11-01 20:40:17,816 - INFO - Epoch [1/50], Train Loss: 0.7445, Train Accuracy: 61.54%, Valid Loss: 0.7063, Valid Accuracy: 68.81%
2023-11-01 20:42:02,833 - INFO - Epoch [2/50], Train Loss: 0.6793 Saved!
2023-11-01 20:42:02,833 - INFO - Epoch [2/50], Train Loss: 0.6793, Train Accuracy: 64.62%, Valid Loss: 0.6301, Valid Accuracy: 68.81%
2023-11-01 20:43:47,259 - INFO - Epoch [3/50], Train Loss: 0.6545 Saved!
2023-11-01 20:43:47,260 - INFO - Epoch [3/50], Train Loss: 0.6545, Train Accuracy: 64.31%, Valid Loss: 0.6214, Valid Accuracy: 68.81%
2023-11-01 20:45:31,663 - INFO - Epoch [4/50], Train Loss: 0.6467, Train Accuracy: 67.08%, Valid Loss: 0.6224, Valid Accuracy: 68.81%
2023-11-01 20:47:16,459 - INFO - Epoch [5/50], Train Loss: 0.6415, Train Accuracy: 67.69%, Valid Loss: 0.6274, Valid Accuracy: 68.81%
2023-11-01 20:49:00,779 - INFO - Epoch [6/50], Train Loss: 0.6177, Train Accuracy: 67.69%, Valid Loss: 0.6239, Valid Accuracy: 68.81%
2023-11-01 20:50:45,063 - INFO - Epoch [7/50], Train Loss: 0.6281, Train Accuracy: 68.31%, Valid Loss: 0.6237, Valid Accuracy: 68.81%
2023-11-01 20:52:29,336 - INFO - Epoch [8/50], Train Loss: 0.6388, Train Accuracy: 68.92%, Valid Loss: 0.6475, Valid Accuracy: 68.81%
2023-11-01 20:54:13,631 - INFO - Epoch [9/50], Train Loss: 0.6250, Train Accuracy: 68.92%, Valid Loss: 0.6239, Valid Accuracy: 68.81%
2023-11-01 20:55:57,885 - INFO - Epoch [10/50], Train Loss: 0.6437, Train Accuracy: 68.00%, Valid Loss: 0.6217, Valid Accuracy: 68.81%
2023-11-01 20:57:42,182 - INFO - Epoch [11/50], Train Loss: 0.6416, Train Accuracy: 68.92%, Valid Loss: 0.6223, Valid Accuracy: 68.81%
2023-11-01 20:59:26,450 - INFO - Epoch [12/50], Train Loss: 0.6246, Train Accuracy: 68.92%, Valid Loss: 0.6237, Valid Accuracy: 68.81%
2023-11-01 21:01:10,763 - INFO - Epoch [13/50], Train Loss: 0.6364, Train Accuracy: 68.92%, Valid Loss: 0.6307, Valid Accuracy: 68.81%
2023-11-01 21:02:55,093 - INFO - Epoch [14/50], Train Loss: 0.6229, Train Accuracy: 68.62%, Valid Loss: 0.6220, Valid Accuracy: 68.81%
2023-11-01 21:04:39,382 - INFO - Epoch [15/50], Train Loss: 0.6049, Train Accuracy: 68.92%, Valid Loss: 0.6284, Valid Accuracy: 68.81%
2023-11-01 21:06:23,690 - INFO - Epoch [16/50], Train Loss: 0.6251, Train Accuracy: 68.92%, Valid Loss: 0.6246, Valid Accuracy: 68.81%
2023-11-01 21:08:08,211 - INFO - Epoch [17/50], Train Loss: 0.6451, Train Accuracy: 68.92%, Valid Loss: 0.6274, Valid Accuracy: 68.81%
2023-11-01 21:09:52,630 - INFO - Epoch [18/50], Train Loss: 0.6379, Train Accuracy: 68.62%, Valid Loss: 0.6288, Valid Accuracy: 68.81%
2023-11-01 21:11:37,248 - INFO - Epoch [19/50], Train Loss: 0.6358, Train Accuracy: 68.92%, Valid Loss: 0.6307, Valid Accuracy: 68.81%
2023-11-01 21:13:21,444 - INFO - Epoch [20/50], Train Loss: 0.6159, Train Accuracy: 68.92%, Valid Loss: 0.6220, Valid Accuracy: 68.81%
2023-11-01 21:15:05,593 - INFO - Epoch [21/50], Train Loss: 0.6186, Train Accuracy: 68.92%, Valid Loss: 0.6289, Valid Accuracy: 68.81%
2023-11-01 21:16:49,823 - INFO - Epoch [22/50], Train Loss: 0.6305, Train Accuracy: 68.92%, Valid Loss: 0.6262, Valid Accuracy: 68.81%
2023-11-01 21:18:34,126 - INFO - Epoch [23/50], Train Loss: 0.6380, Train Accuracy: 68.62%, Valid Loss: 0.6265, Valid Accuracy: 68.81%
2023-11-01 21:20:18,345 - INFO - Epoch [24/50], Train Loss: 0.6150, Train Accuracy: 68.92%, Valid Loss: 0.6245, Valid Accuracy: 68.81%
2023-11-01 21:22:02,610 - INFO - Epoch [25/50], Train Loss: 0.6172, Train Accuracy: 69.23%, Valid Loss: 0.6236, Valid Accuracy: 68.81%
2023-11-01 21:23:46,927 - INFO - Epoch [26/50], Train Loss: 0.6362, Train Accuracy: 68.92%, Valid Loss: 0.6237, Valid Accuracy: 68.81%
2023-11-01 21:25:31,209 - INFO - Epoch [27/50], Train Loss: 0.6269, Train Accuracy: 68.92%, Valid Loss: 0.6242, Valid Accuracy: 68.81%
2023-11-01 21:27:15,742 - INFO - Epoch [28/50], Train Loss: 0.6417, Train Accuracy: 68.62%, Valid Loss: 0.6253, Valid Accuracy: 68.81%
2023-11-01 21:29:00,141 - INFO - Epoch [29/50], Train Loss: 0.6282, Train Accuracy: 68.92%, Valid Loss: 0.6249, Valid Accuracy: 68.81%
